,date,MG,FL,OD,VS,SJ,PEAK
60,2011-01-03 12:00:00,7968.444,8879.292,11565.194,8407.61,9951.308,20439.797
61,2011-01-03 13:00:00,7969.243,8880.189,11566.035,8408.6,9952.98,20441.479
62,2011-01-03 14:00:00,7970.09,8881.545,11566.67,8409.831,9954.172,20444.004
63,2011-01-03 15:00:00,7970.5977,8882.768,11566.923,8410.638,9955.807,20445.586
64,2011-01-03 16:00:00,7971.436,8883.596,11567.682,8412.089,9957.02,20448.062
65,2011-01-03 17:00:00,7971.9214,8883.94,11568.209,8412.336,9958.088,20450.8
66,2011-01-03 18:00:00,7972.0947,8883.94,11568.209,8412.336,9958.879,20453.203
67,2011-01-03 19:00:00,7972.0947,8883.94,11568.209,8412.336,9959.162,20453.254
68,2011-01-03 20:00:00,7972.0947,8884.241,11568.631,8412.336,9960.031,20454.938
69,2011-01-03 21:00:00,7972.0947,8884.241,11569.272,8412.336,9960.49,20456.44
70,2011-01-03 22:00:00,7972.0947,8884.241,11569.272,8412.336,9960.49,20457.285
71,2011-01-03 23:00:00,7972.0947,8884.241,11569.272,8412.336,9960.49,20457.75
72,2011-01-04 00:00:00,7972.0947,8884.241,11569.272,8412.336,9960.49,20457.75
73,2011-01-04 01:00:00,7972.0947,8884.241,11569.272,8412.336,9960.551,20457.75
74,2011-01-04 02:00:00,7972.0947,8884.241,11569.272,8412.336,9960.864,20457.75
75,2011-01-04 03:00:00,7972.1616,8884.404,11569.272,8412.336,9960.864,20457.75
76,2011-01-04 04:00:00,7972.1616,8884.404,11569.272,8412.336,9960.864,20457.75
77,2011-01-04 05:00:00,7972.189,8884.404,11569.272,8412.336,9960.864,20457.75
78,2011-01-04 06:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
79,2011-01-04 07:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
80,2011-01-04 08:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
81,2011-01-04 09:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
82,2011-01-04 10:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
83,2011-01-04 11:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
84,2011-01-04 12:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
85,2011-01-04 13:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
86,2011-01-04 14:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
87,2011-01-04 15:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
88,2011-01-04 16:00:00,7972.4326,8884.404,11569.272,8412.336,9960.864,20457.75
89,2011-01-04 17:00:00,7972.452,8884.404,11569.272,8412.336,9960.864,20457.75
90,2011-01-04 18:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
91,2011-01-04 19:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
92,2011-01-04 20:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
93,2011-01-04 21:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
94,2011-01-04 22:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
95,2011-01-04 23:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
96,2011-01-05 00:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
97,2011-01-05 01:00:00,7972.847,8884.404,11569.272,8412.681,9960.864,20457.75
98,2011-01-05 02:00:00,7972.9873,8884.404,11569.272,8412.681,9960.864,20457.75
99,2011-01-05 03:00:00,7973.083,8884.404,11569.272,8412.701,9960.864,20457.75
100,2011-01-05 04:00:00,7973.5225,8884.404,11569.272,8413.577,9960.864,20458.686
101,2011-01-05 05:00:00,7974.1353,8884.404,11569.272,8413.945,9960.864,20458.686
102,2011-01-05 06:00:00,7974.6323,8884.404,11569.319,8413.945,9960.864,20458.686
103,2011-01-05 07:00:00,7975.06,8884.404,11570.175,8414.003,9961.411,20459.18
104,2011-01-05 08:00:00,7975.8604,8884.404,11570.93,8414.003,9962.288,20460.934
105,2011-01-05 09:00:00,7976.256,8884.534,11570.93,8414.196,9962.911,20462.469
106,2011-01-05 10:00:00,7976.996,8885.274,11570.93,8415.157,9963.651,20463.95
107,2011-01-05 11:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
108,2011-01-05 12:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
109,2011-01-05 13:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
110,2011-01-05 14:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
111,2011-01-05 15:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
112,2011-01-05 16:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
113,2011-01-05 17:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
114,2011-01-05 18:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
115,2011-01-05 19:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
116,2011-01-05 20:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
117,2011-01-05 21:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
118,2011-01-05 22:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
119,2011-01-05 23:00:00,7972.665,8884.404,11569.272,8412.336,9960.864,20457.75
120,2011-01-06 00:00:00,7978.095,8886.042,11571.34,8416.324,9964.419,20465.484
121,2011-01-06 01:00:00,7979.7666,8886.836,11572.565,8417.912,9965.803,20467.072
122,2011-01-06 02:00:00,7981.184,8887.64,11574.161,8419.414,9967.41,20468.68
123,2011-01-06 03:00:00,7982.4653,8887.842,11574.981,8420.164,9968.82,20470.18
124,2011-01-06 04:00:00,7983.5186,8887.842,11575.738,8420.206,9969.577,20471.693
125,2011-01-06 05:00:00,7984.601,8887.953,11576.886,8420.688,9970.3125,20473.164
126,2011-01-06 06:00:00,7985.518,8887.953,11578.538,8420.83,9971.139,20474.816
127,2011-01-06 07:00:00,7986.6772,8888.798,11580.261,8420.83,9972.0,20476.54
128,2011-01-06 08:00:00,7987.73,8889.604,11581.525,8420.83,9972.806,20478.15
129,2011-01-06 09:00:00,7988.226,8890.348,11582.27,8420.83,9973.55,20479.639
130,2011-01-06 10:00:00,7988.4775,8890.871,11582.982,8421.221,9974.263,20481.064
131,2011-01-06 11:00:00,7988.4775,8891.551,11583.662,8421.9,9974.942,20482.424
132,2011-01-06 12:00:00,7988.6123,8891.617,11584.3955,8422.634,9975.511,20483.846
133,2011-01-06 13:00:00,7988.695,8891.918,11585.211,8422.716,9976.291,20483.846
134,2011-01-06 14:00:00,7988.879,8892.653,11585.946,8423.101,9977.026,20484.525
135,2011-01-06 15:00:00,7989.5776,8893.073,11586.796,8423.593,9978.159,20485.547
136,2011-01-06 16:00:00,7990.5103,8893.58,11587.846,8424.128,9979.197,20486.297
137,2011-01-06 17:00:00,7991.3623,8893.968,11588.01,8424.334,9979.32,20486.637
138,2011-01-06 18:00:00,7991.5317,8894.721,11588.134,8424.93,9979.517,20487.025
139,2011-01-06 19:00:00,7993.544,8895.069,11588.432,8427.365,9979.533,20487.688
140,2011-01-06 20:00:00,7996.37,8896.067,11588.432,8428.829,9979.533,20488.709
141,2011-01-06 21:00:00,7997.613,8897.099,11588.907,8430.042,9980.8,20489.037
