,date,MG,FL,OD,VS,SJ,PEAK
0,2009-01-01 00:00:00,5622.263,6200.02,8150.2666,5990.6704,6806.8823,14587.845
1,2009-01-01 01:00:00,5622.263,6200.02,8150.2666,5990.6704,6806.9,14587.845
2,2009-01-01 02:00:00,5622.263,6200.02,8150.2666,5990.6704,6807.011,14587.845
3,2009-01-01 03:00:00,5622.263,6200.02,8150.2666,5990.6704,6807.011,14588.047
4,2009-01-01 04:00:00,5622.263,6200.02,8150.4556,5990.6704,6807.096,14588.497
5,2009-01-01 05:00:00,5622.263,6200.02,8150.496,5990.6704,6807.218,14588.634
6,2009-01-01 06:00:00,5622.263,6200.02,8150.496,5990.6704,6807.218,14588.634
7,2009-01-01 07:00:00,5622.263,6200.02,8150.496,5990.6704,6807.315,14588.634
8,2009-01-01 08:00:00,5622.263,6200.02,8150.5425,5990.6704,6807.315,14588.885
9,2009-01-01 09:00:00,5622.263,6200.02,8151.213,5990.6704,6807.4556,14589.356
10,2009-01-01 10:00:00,5622.263,6200.02,8151.259,5990.6704,6807.8633,14589.356
11,2009-01-01 11:00:00,5622.263,6200.02,8151.259,5990.6704,6808.0137,14589.356
12,2009-01-01 12:00:00,5622.2646,6200.0396,8151.4854,5990.6704,6808.4194,14589.356
13,2009-01-01 13:00:00,5622.2646,6200.322,8151.4854,5990.6704,6808.5312,14589.558
14,2009-01-01 14:00:00,5622.271,6200.6636,8151.958,5990.7354,6808.732,14590.668
15,2009-01-01 15:00:00,5622.4097,6201.9976,8152.383,5990.9434,6810.0312,14591.26
16,2009-01-01 16:00:00,5622.639,6202.961,8153.0405,5990.9946,6810.7896,14592.594
17,2009-01-01 17:00:00,5623.012,6204.058,8154.115,5991.3047,6811.51,14593.399
18,2009-01-01 18:00:00,5623.4976,6204.06,8155.0625,5991.5127,6811.5664,14594.405
19,2009-01-01 19:00:00,5624.0996,6204.1475,8155.1226,5991.827,6811.9146,14594.777
20,2009-01-01 20:00:00,5624.0996,6204.1475,8155.2207,5991.856,6811.948,14595.174
